exp_id,name,member,env,policy,lr,gamma,batch_size,eps_start,eps_end,eps_decay,n_envs,timesteps,n_episodes,mean_reward,max_reward,last20_mean,elapsed_s,noted_behavior
1,Exp1_LowLR_500k,Kariza,ALE/Tennis-v5,CnnPolicy,1e-05,0.99,32,1.0,0.05,0.1,4,500000,144,-20.83,-1.0,-21.2,3441.0,"n_ep=144, mean=-20.83, max=-1.0, last20=-21.2. Exact Exp3 settings with 5x more steps — baseline for round 2"
2,Exp2_LowLR_LargeBatch,Kariza,ALE/Tennis-v5,CnnPolicy,1e-05,0.99,128,1.0,0.05,0.1,4,500000,184,-22.23,-1.0,-16.15,14166.7,"n_ep=184, mean=-22.23, max=-1.0, last20=-16.15. Combine Exp3 low-lr stability with large-batch smooth gradients — best of both worlds"
3,Exp3_LowLR_LowGamma,Kariza,ALE/Tennis-v5,CnnPolicy,1e-05,0.9,32,1.0,0.05,0.1,4,500000,153,-20.8,-1.0,-19.45,6193.2,"n_ep=153, mean=-20.8, max=-1.0, last20=-19.45. Low lr + short-sighted play — just return the ball, don't plan ahead"
4,Exp4_LowLR_TightEps,Kariza,ALE/Tennis-v5,CnnPolicy,1e-05,0.99,32,1.0,0.01,0.1,4,500000,149,-17.51,0.0,-12.45,5839.7,"n_ep=149, mean=-17.51, max=0.0, last20=-12.45. Low lr + more exploitation (eps_end=0.01) — squeeze more from learned policy"
5,Exp5_LowLR_SlowDecay,Kariza,ALE/Tennis-v5,CnnPolicy,1e-05,0.99,32,1.0,0.05,0.4,4,500000,338,-22.82,-1.0,-17.8,4267.4,"n_ep=338, mean=-22.82, max=-1.0, last20=-17.8. Low lr + extended exploration — discover more rally strategies before converging"
6,Exp6_LowLR_MedBatch,Kariza,ALE/Tennis-v5,CnnPolicy,1e-05,0.99,64,1.0,0.05,0.1,4,500000,165,-21.16,-1.0,-13.1,5168.6,"n_ep=165, mean=-21.16, max=-1.0, last20=-13.1. Low lr + batch=64 — middle ground between Exp1 and Exp2 batch sizes"
7,Exp7_LowLR_LargeBatch_LowGamma,Kariza,ALE/Tennis-v5,CnnPolicy,1e-05,0.9,128,1.0,0.05,0.1,4,500000,140,-19.35,1.0,-12.15,8550.3,"n_ep=140, mean=-19.35, max=1.0, last20=-12.15. Triple combo: stable lr + smooth gradients + short-sighted play — most aggressive"
8,Exp8_LowLR_ModerateGamma,Kariza,ALE/Tennis-v5,CnnPolicy,1e-05,0.95,32,1.0,0.05,0.1,4,500000,141,-21.09,-1.0,-18.25,3465.5,"n_ep=141, mean=-21.09, max=-1.0, last20=-18.25. Low lr + gamma=0.95 — moderate future-reward balance for tennis rallies"
9,Exp9_LowLR_LargeBatch_TightEps,Kariza,ALE/Tennis-v5,CnnPolicy,1e-05,0.99,128,1.0,0.01,0.1,4,500000,152,-17.24,-1.0,-8.35,9969.7,"n_ep=152, mean=-17.24, max=-1.0, last20=-8.35. Smooth gradients + maximum exploitation — converge hard on best known policy"
10,Exp10_LowLR_BestGuess,Kariza,ALE/Tennis-v5,CnnPolicy,1e-05,0.95,64,1.0,0.01,0.2,4,500000,188,-18.9,-1.0,-9.75,6704.9,"n_ep=188, mean=-18.9, max=-1.0, last20=-9.75. Combined: low lr + moderate gamma + medium batch + tight eps — most refined guess"
